Time,CO₂(ppm),Temperature(°C),Humidity(%),Pressure(hPa)
1/5/2021 5:57:51 AM,"633","22.6","38","1016"
1/5/2021 5:58:51 AM,"620","22.6","38","1016"
1/5/2021 5:59:51 AM,"620","22.6","38","1016"
1/5/2021 6:00:51 AM,"620","22.6","38","1016"
1/5/2021 6:01:51 AM,"620","22.6","38","1016"
1/5/2021 6:02:51 AM,"620","22.6","38","1016"
1/5/2021 6:03:51 AM,"653","22.6","37","1016"
1/5/2021 6:04:51 AM,"653","22.6","37","1016"
1/5/2021 6:05:51 AM,"653","22.6","37","1016"
1/5/2021 6:06:51 AM,"653","22.6","37","1016"
1/5/2021 6:07:51 AM,"653","22.6","37","1016"
1/5/2021 6:08:51 AM,"619","22.7","37","1016"
1/5/2021 6:09:51 AM,"619","22.7","37","1016"
1/5/2021 6:10:51 AM,"619","22.7","37","1016"
1/5/2021 6:11:51 AM,"619","22.7","37","1016"
1/5/2021 6:12:51 AM,"619","22.7","37","1016"
1/5/2021 6:13:51 AM,"617","22.7","37","1016"
1/5/2021 6:14:51 AM,"617","22.7","37","1016"
1/5/2021 6:15:51 AM,"617","22.7","37","1016"
1/5/2021 6:16:51 AM,"617","22.7","37","1016"
1/5/2021 6:17:51 AM,"617","22.7","37","1016"
1/5/2021 6:18:51 AM,"609","22.7","37","1016"
1/5/2021 6:19:51 AM,"609","22.7","37","1016"
1/5/2021 6:20:51 AM,"609","22.7","37","1016"
1/5/2021 6:21:51 AM,"609","22.7","37","1016"
1/5/2021 6:22:51 AM,"609","22.7","37","1016"
1/5/2021 6:23:51 AM,"619","22.7","37","1016"
1/5/2021 6:24:51 AM,"619","22.7","37","1016"
1/5/2021 6:25:51 AM,"619","22.7","37","1016"
1/5/2021 6:26:51 AM,"619","22.7","37","1016"
1/5/2021 6:27:51 AM,"619","22.7","37","1016"
1/5/2021 6:28:51 AM,"605","22.7","37","1016"
1/5/2021 6:29:51 AM,"605","22.7","37","1016"
1/5/2021 6:30:51 AM,"605","22.7","37","1016"
1/5/2021 6:31:51 AM,"605","22.7","37","1016"
1/5/2021 6:32:51 AM,"605","22.7","37","1016"
1/5/2021 6:33:51 AM,"627","22.7","37","1016"
1/5/2021 6:34:51 AM,"627","22.7","37","1016"
1/5/2021 6:35:51 AM,"627","22.7","37","1016"
1/5/2021 6:36:51 AM,"627","22.7","37","1016"
1/5/2021 6:37:51 AM,"627","22.7","37","1016"
1/5/2021 6:38:51 AM,"617","22.7","37","1016"
1/5/2021 6:39:51 AM,"617","22.7","37","1016"
1/5/2021 6:40:51 AM,"617","22.7","37","1016"
1/5/2021 6:41:51 AM,"617","22.7","37","1016"
1/5/2021 6:42:51 AM,"617","22.7","37","1016"
1/5/2021 6:43:51 AM,"605","22.8","37","1016"
1/5/2021 6:44:51 AM,"605","22.8","37","1016"
1/5/2021 6:45:51 AM,"605","22.8","37","1016"
1/5/2021 6:46:51 AM,"605","22.8","37","1016"
1/5/2021 6:47:51 AM,"605","22.8","37","1016"
1/5/2021 6:48:51 AM,"610","22.8","37","1016"
1/5/2021 6:49:51 AM,"610","22.8","37","1016"
1/5/2021 6:50:51 AM,"610","22.8","37","1016"
1/5/2021 6:51:51 AM,"610","22.8","37","1016"
1/5/2021 6:52:51 AM,"610","22.8","37","1016"
1/5/2021 6:53:51 AM,"592","22.8","37","1016"
1/5/2021 6:54:51 AM,"592","22.8","37","1016"
1/5/2021 6:55:51 AM,"592","22.8","37","1016"
